"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4826","createProject","CrossBrowser Test","Mon Jul 21 16:39:49 GMT 2025","passed","Mon Jul 21 16:39:54 GMT 2025","tests.ui.project.CreateProjectTest","FireFox","tests.ui.project.CreateProjectTest","createProject"
"","2396","loginWithInvalidValue","CrossBrowser Test","Mon Jul 21 16:39:44 GMT 2025","passed","Mon Jul 21 16:39:47 GMT 2025","tests.ui.login.LoginTest","FireFox","tests.ui.login.LoginTest","loginWithInvalidValue"
"","4956","createProject","Regression Test","Mon Jul 21 16:39:10 GMT 2025","passed","Mon Jul 21 16:39:15 GMT 2025","tests.ui.project.CreateProjectTest","Thread 2","tests.ui.project.CreateProjectTest","createProject"
"","2899","loginWithValidValue","Regression Test","Mon Jul 21 16:39:07 GMT 2025","passed","Mon Jul 21 16:39:09 GMT 2025","tests.ui.login.LoginTest","Thread 2","tests.ui.login.LoginTest","loginWithValidValue"
"","2485","loginWithInvalidValue","CrossBrowser Test","Mon Jul 21 16:39:39 GMT 2025","passed","Mon Jul 21 16:39:41 GMT 2025","tests.ui.login.LoginTest","FireFox","tests.ui.login.LoginTest","loginWithInvalidValue"
"","2144","loginWithInvalidValue","Regression Test","Mon Jul 21 16:39:04 GMT 2025","passed","Mon Jul 21 16:39:06 GMT 2025","tests.ui.login.LoginTest","Thread 2","tests.ui.login.LoginTest","loginWithInvalidValue"
"","3117","loginWithValidValue","CrossBrowser Test","Mon Jul 21 16:39:22 GMT 2025","passed","Mon Jul 21 16:39:26 GMT 2025","tests.ui.login.LoginTest","Chrome","tests.ui.login.LoginTest","loginWithValidValue"
"","6213","createTestCase","Regression Test","Mon Jul 21 16:39:08 GMT 2025","passed","Mon Jul 21 16:39:14 GMT 2025","tests.ui.test_case.CreateTestCaseTest","Thread 1","tests.ui.test_case.CreateTestCaseTest","createTestCase"
"","2068","loginWithInvalidValue","Regression Test","Mon Jul 21 16:39:01 GMT 2025","passed","Mon Jul 21 16:39:04 GMT 2025","tests.ui.login.LoginTest","Thread 2","tests.ui.login.LoginTest","loginWithInvalidValue"
"","4727","createProject","CrossBrowser Test","Mon Jul 21 16:39:26 GMT 2025","passed","Mon Jul 21 16:39:31 GMT 2025","tests.ui.project.CreateProjectTest","Chrome","tests.ui.project.CreateProjectTest","createProject"
"","4206","switchProject","Regression Test","Mon Jul 21 16:38:54 GMT 2025","passed","Mon Jul 21 16:38:58 GMT 2025","tests.ui.project.SwitchProjectTest","Thread 2","tests.ui.project.SwitchProjectTest","switchProject"
